fips,population,county,state,rate,rate_u,typology
01001,54571,Autauga County,Alabama,0.107,0.35,Working Class Country
01003,182265,Baldwin County,Alabama,0.108,0.3,Rural Middle America
01005,27457,Barbour County,Alabama,0.23,0.4,African American South
01007,22915,Bibb County,Alabama,0.206,0.41,Evangelical Hubs
01009,57322,Blount County,Alabama,0.12,0.39,Evangelical Hubs
01011,10914,Bullock County,Alabama,0.321,0.44,African American South
01013,20947,Butler County,Alabama,0.227,0.4,African American South
01015,118572,Calhoun County,Alabama,0.192,0.36,Working Class Country
01017,34215,Chambers County,Alabama,0.197,0.4,African American South
01019,25989,Cherokee County,Alabama,0.182,0.34,Evangelical Hubs
01021,43643,Chilton County,Alabama,0.155,0.39,Evangelical Hubs
01023,13859,Choctaw County,Alabama,0.233,0.4,African American South
01025,25833,Clarke County,Alabama,0.194,0.44,African American South
01027,13932,Clay County,Alabama,0.184,0.37,Evangelical Hubs
01029,14972,Cleburne County,Alabama,0.15,0.36,Evangelical Hubs
01031,49948,Coffee County,Alabama,0.159,0.35,Military Posts
01033,54428,Colbert County,Alabama,0.165,0.36,Working Class Country
01035,13228,Conecuh County,Alabama,0.224,0.41,African American South
01037,11539,Coosa County,Alabama,0.171,0.39,Evangelical Hubs
01039,37765,Covington County,Alabama,0.198,0.37,Evangelical Hubs
01041,13906,Crenshaw County,Alabama,0.175,0.36,Evangelical Hubs
01043,80406,Cullman County,Alabama,0.135,0.33,Evangelical Hubs
01045,50251,Dale County,Alabama,0.157,0.38,Military Posts
01047,43820,Dallas County,Alabama,0.295,0.47,African American South
01049,71109,DeKalb County,Alabama,0.194,0.35,Evangelical Hubs
01051,79303,Elmore County,Alabama,0.12,0.36,Evangelical Hubs
01053,38319,Escambia County,Alabama,0.238,0.39,African American South
01055,104430,Etowah County,Alabama,0.174,0.35,Evangelical Hubs
01057,17241,Fayette County,Alabama,0.196,0.37,Evangelical Hubs
01059,31704,Franklin County,Alabama,0.189,0.38,Evangelical Hubs
01061,26790,Geneva County,Alabama,0.211,0.36,Evangelical Hubs
01063,9045,Greene County,Alabama,0.332,0.47,African American South
01065,15760,Hale County,Alabama,0.221,0.44,African American South
01067,17302,Henry County,Alabama,0.156,0.39,Working Class Country
01069,101547,Houston County,Alabama,0.191,0.4,Working Class Country
01071,53227,Jackson County,Alabama,0.189,0.39,Evangelical Hubs
01073,658466,Jefferson County,Alabama,0.169,0.34,African American South
01075,14564,Lamar County,Alabama,0.17,0.36,Evangelical Hubs
01077,92709,Lauderdale County,Alabama,0.162,0.33,Working Class Country
01079,34339,Lawrence County,Alabama,0.139,0.36,Evangelical Hubs
01081,140247,Lee County,Alabama,0.18,0.34,College Towns
01083,82782,Limestone County,Alabama,0.099,0.34,Evangelical Hubs
01085,11299,Lowndes County,Alabama,0.283,0.46,African American South
01087,21452,Macon County,Alabama,0.275,0.4,African American South
01089,334811,Madison County,Alabama,0.102,0.33,College Towns
01091,21027,Marengo County,Alabama,0.246,0.44,African American South
01093,30776,Marion County,Alabama,0.183,0.36,Evangelical Hubs
01095,93019,Marshall County,Alabama,0.156,0.38,Evangelical Hubs
01097,412992,Mobile County,Alabama,0.182,0.36,African American South
01099,23068,Monroe County,Alabama,0.223,0.41,African American South
01101,229363,Montgomery County,Alabama,0.217,0.38,African American South
01103,119490,Morgan County,Alabama,0.135,0.35,Working Class Country
01105,10591,Perry County,Alabama,0.337,0.46,African American South
01107,19746,Pickens County,Alabama,0.211,0.4,African American South
01109,32899,Pike County,Alabama,0.239,0.36,African American South
01111,22913,Randolph County,Alabama,0.215,0.35,Evangelical Hubs
01113,52947,Russell County,Alabama,0.217,0.39,African American South
01115,83593,St. Clair County,Alabama,0.128,0.35,Evangelical Hubs
01117,195085,Shelby County,Alabama,0.077,0.3,Exurbs
01119,13763,Sumter County,Alabama,0.351,0.44,African American South
01121,82291,Talladega County,Alabama,0.191,0.37,African American South
01123,41616,Tallapoosa County,Alabama,0.183,0.39,Working Class Country
01125,194656,Tuscaloosa County,Alabama,0.147,0.38,College Towns
01127,67023,Walker County,Alabama,0.202,0.35,Evangelical Hubs
