fips,population,county,state,rate
01077,92709,Lauderdale County, Alabama,0.105
01083,82782,Limestone County, Alabama,0.093
01089,334811,Madison County, Alabama,0.075
01071,53227,Jackson County, Alabama,0.118
01033,54428,Colbert County, Alabama,0.114
01049,71109,DeKalb County, Alabama,0.143
01079,34339,Lawrence County, Alabama,0.136
01103,119490,Morgan County, Alabama,0.104
01095,93019,Marshall County, Alabama,0.092
01059,31704,Franklin County, Alabama,0.123
01019,25989,Cherokee County, Alabama,0.118
01093,30776,Marion County, Alabama,0.152
01043,80406,Cullman County, Alabama,0.096
01133,24484,Winston County, Alabama,0.175
01009,57322,Blount County, Alabama,0.099
01055,104430,Etowah County, Alabama,0.107
01075,14564,Lamar County, Alabama,0.148
01127,67023,Walker County, Alabama,0.119
01115,83593,St. Clair County, Alabama,0.107
01015,118572,Calhoun County, Alabama,0.108
01029,14972,Cleburne County, Alabama,0.104
01057,17241,Fayette County, Alabama,0.128
01073,658466,Jefferson County, Alabama,0.107
01121,82291,Talladega County, Alabama,0.136
01125,194656,Tuscaloosa County, Alabama,0.09
01117,195085,Shelby County, Alabama,0.076
01107,19746,Pickens County, Alabama,0.13
01111,22913,Randolph County, Alabama,0.151
01027,13932,Clay County, Alabama,0.159
01007,22915,Bibb County, Alabama,0.121
01063,9045,Greene County, Alabama,0.147
01017,34215,Chambers County, Alabama,0.186
01123,41616,Tallapoosa County, Alabama,0.137
01037,11539,Coosa County, Alabama,0.14
01021,43643,Chilton County, Alabama,0.099
01065,15760,Hale County, Alabama,0.127
01119,13763,Sumter County, Alabama,0.139
01105,10591,Perry County, Alabama,0.198
01051,79303,Elmore County, Alabama,0.09
01081,140247,Lee County, Alabama,0.086
01047,43820,Dallas County, Alabama,0.211
01001,54571,Autauga County, Alabama,0.097
01087,21452,Macon County, Alabama,0.114
01091,21027,Marengo County, Alabama,0.148
01113,52947,Russell County, Alabama,0.126
01101,229363,Montgomery County, Alabama,0.102
01085,11299,Lowndes County, Alabama,0.185
01023,13859,Choctaw County, Alabama,0.127
01011,10914,Bullock County, Alabama,0.164
01131,11670,Wilcox County, Alabama,0.256
01005,27457,Barbour County, Alabama,0.134
01109,32899,Pike County, Alabama,0.087
01041,13906,Crenshaw County, Alabama,0.097
01025,25833,Clarke County, Alabama,0.17
01013,20947,Butler County, Alabama,0.167
01099,23068,Monroe County, Alabama,0.187
01067,17302,Henry County, Alabama,0.099
01035,13228,Conecuh County, Alabama,0.195
01129,17581,Washington County, Alabama,0.151
01045,50251,Dale County, Alabama,0.093
01031,49948,Coffee County, Alabama,0.085
01039,37765,Covington County, Alabama,0.101
01003,182265,Baldwin County, Alabama,0.091
01069,101547,Houston County, Alabama,0.089
01053,38319,Escambia County, Alabama,0.129
01061,26790,Geneva County, Alabama,0.1
01097,412992,Mobile County, Alabama,0.111
02016,5561,Aleutians West Census Area, Alaska,0.084
02013,3141,Aleutians East Borough, Alaska,0.101
02130,13477,Ketchikan Gateway Borough, Alaska,0.061
02060,997,Bristol Bay Borough, Alaska,0.036
02070,4847,Dillingham Census Area, Alaska,0.084
02164,1631,Lake and Peninsula Borough, Alaska,0.059
02150,13592,Kodiak Island Borough, Alaska,0.066
02110,31275,Juneau City and Borough, Alaska,0.057
02100,2508,Haines Borough, Alaska,0.062
02220,8881,Sitka City and Borough, Alaska,0.059
02270,7459,Wade Hampton Census Area, Alaska,0.204
02050,17013,Bethel Census Area, Alaska,0.148
02170,88995,Matanuska-Susitna Borough, Alaska,0.088
02068,1826,Denali Borough, Alaska,0.034
02020,291826,Anchorage Municipality, Alaska,0.07
02261,9636,Valdez-Cordova Census Area, Alaska,0.064
02122,55400,Kenai Peninsula Borough, Alaska,0.097
02282,662,Yakutat City and Borough, Alaska,0.063
02290,5588,Yukon-Koyukuk Census Area, Alaska,0.136
02090,97581,Fairbanks North Star Borough, Alaska,0.069
02240,7029,Southeast Fairbanks Census Area, Alaska,0.081
