fips,county,state,rate,rate_u,population,typology
01001,Autauga County,Alabama,0.187,0.7266,54571,Working Class Country
01003,Baldwin County,Alabama,0.164,0.7865,182265,Rural Middle America
01005,Barbour County,Alabama,0.273,0.5702,27457,African American South
01007,Bibb County,Alabama,0.218,0.8194,22915,Evangelical Hubs
01009,Blount County,Alabama,0.184,0.9018,57322,Evangelical Hubs
01011,Bullock County,Alabama,0.307,0.2681,10914,African American South
01013,Butler County,Alabama,0.252,0.6108,20947,African American South
01015,Calhoun County,Alabama,0.227,0.7194,118572,Working Class Country
01017,Chambers County,Alabama,0.233,0.6125,34215,African American South
01019,Cherokee County,Alabama,0.184,0.8748,25989,Evangelical Hubs
01021,Chilton County,Alabama,0.207,0.8577,43643,Evangelical Hubs
01023,Choctaw County,Alabama,0.262,0.6174,13859,African American South
01025,Clarke County,Alabama,0.261,0.583,25833,African American South
01027,Clay County,Alabama,0.212,0.8486,13932,Evangelical Hubs
01029,Cleburne County,Alabama,0.204,0.915,14972,Evangelical Hubs
01031,Coffee County,Alabama,0.208,0.7856,49948,Military Posts
01033,Colbert County,Alabama,0.201,0.7278,54428,Working Class Country
01035,Conecuh County,Alabama,0.263,0.5664,13228,African American South
01037,Coosa County,Alabama,0.201,0.7139,11539,Evangelical Hubs
01039,Covington County,Alabama,0.224,0.8597,37765,Evangelical Hubs
01041,Crenshaw County,Alabama,0.218,0.7716,13906,Evangelical Hubs
01043,Cullman County,Alabama,0.19,0.899,80406,Evangelical Hubs
01045,Dale County,Alabama,0.232,0.7578,50251,Military Posts
01047,Dallas County,Alabama,0.337,0.3342,43820,African American South
01049,DeKalb County,Alabama,0.217,0.8665,71109,Evangelical Hubs
01051,Elmore County,Alabama,0.182,0.7562,79303,Evangelical Hubs
01053,Escambia County,Alabama,0.263,0.7291,38319,African American South
01055,Etowah County,Alabama,0.218,0.7747,104430,Evangelical Hubs
01057,Fayette County,Alabama,0.233,0.8566,17241,Evangelical Hubs
01059,Franklin County,Alabama,0.229,0.8625,31704,Evangelical Hubs
01061,Geneva County,Alabama,0.223,0.8821,26790,Evangelical Hubs
01063,Greene County,Alabama,0.362,0.2193,9045,African American South
01065,Hale County,Alabama,0.313,0.4621,15760,African American South
01067,Henry County,Alabama,0.21,0.7514,17302,Working Class Country
01069,Houston County,Alabama,0.225,0.7347,101547,Working Class Country
01071,Jackson County,Alabama,0.212,0.8538,53227,Evangelical Hubs
01073,Jefferson County,Alabama,0.229,0.4419,658466,African American South
01075,Lamar County,Alabama,0.203,0.8775,14564,Evangelical Hubs
01077,Lauderdale County,Alabama,0.184,0.7527,92709,Working Class Country
01079,Lawrence County,Alabama,0.211,0.8082,34339,Evangelical Hubs
01081,Lee County,Alabama,0.187,0.6331,140247,College Towns
01083,Limestone County,Alabama,0.17,0.7136,82782,Evangelical Hubs
01085,Lowndes County,Alabama,0.329,0.311,11299,African American South
01087,Macon County,Alabama,0.288,0.2151,21452,African American South
01089,Madison County,Alabama,0.171,0.5369,334811,College Towns
01091,Marengo County,Alabama,0.288,0.5164,21027,African American South
01093,Marion County,Alabama,0.208,0.9055,30776,Evangelical Hubs
01095,Marshall County,Alabama,0.206,0.8549,93019,Evangelical Hubs
01097,Mobile County,Alabama,0.232,0.5773,412992,African American South
01099,Monroe County,Alabama,0.244,0.613,23068,African American South
01101,Montgomery County,Alabama,0.26,0.341,229363,African American South
01103,Morgan County,Alabama,0.196,0.7579,119490,Working Class Country
01105,Perry County,Alabama,0.376,0.2847,10591,African American South
01107,Pickens County,Alabama,0.256,0.6142,19746,African American South
01109,Pike County,Alabama,0.242,0.6224,32899,African American South
01111,Randolph County,Alabama,0.221,0.8219,22913,Evangelical Hubs
01113,Russell County,Alabama,0.259,0.4874,52947,African American South
01117,Shelby County,Alabama,0.145,0.6986,195085,Exurbs
01115,St. Clair County,Alabama,0.167,0.8172,83593,Evangelical Hubs
01119,Sumter County,Alabama,0.326,0.2911,13763,African American South
01121,Talladega County,Alabama,0.234,0.6662,82291,African American South
